                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.53639,                0.36192,                 1.0788,                0.84368,                0.79979,                0.86587,                0.71022,                0.75505,                0.75844,                 1.1661,             5.9905e-05,             5.9905e-05,             5.9905e-05
                     83,                0.51138,                0.35293,                 1.0698,                0.84465,                0.80036,                0.86658,                0.70992,                0.75444,                0.76505,                  1.169,              5.941e-05,              5.941e-05,              5.941e-05
                     84,                0.51642,                0.36207,                 1.0539,                0.85026,                0.78633,                0.86501,                0.70749,                0.75715,                0.75679,                  1.177,             5.8915e-05,             5.8915e-05,             5.8915e-05
                     85,                0.51208,                0.35989,                 1.0663,                0.90429,                0.74435,                0.86608,                0.71134,                0.74371,                0.75628,                 1.1627,              5.842e-05,              5.842e-05,              5.842e-05
                     86,                0.51801,                0.35013,                 1.0648,                 0.8922,                0.75256,                0.86463,                0.71352,                0.74277,                0.77075,                 1.1594,             5.7925e-05,             5.7925e-05,             5.7925e-05
                     87,                0.51629,                0.35967,                 1.0668,                0.86661,                0.76585,                0.86714,                0.71525,                0.74886,                0.76127,                  1.169,              5.743e-05,              5.743e-05,              5.743e-05
                     88,                0.52729,                0.35423,                 1.0684,                0.88155,                0.76399,                0.86518,                0.71186,                0.74678,                0.77155,                 1.1652,             5.6935e-05,             5.6935e-05,             5.6935e-05
                     89,                0.51197,                0.36837,                  1.065,                0.85279,                0.78787,                0.86881,                0.71478,                0.74443,                0.75466,                 1.1524,              5.644e-05,              5.644e-05,              5.644e-05
                     90,                0.52712,                0.35761,                 1.0682,                0.88846,                0.75009,                0.86615,                0.71281,                 0.7474,                0.76738,                 1.1606,             5.5945e-05,             5.5945e-05,             5.5945e-05
                     91,                0.52174,                0.35421,                 1.0649,                0.88935,                0.75843,                0.86603,                0.71057,                0.75243,                0.77481,                 1.1685,              5.545e-05,              5.545e-05,              5.545e-05
                     92,                0.51153,                0.35402,                 1.0692,                0.87811,                0.76429,                0.86815,                0.71389,                0.75305,                0.76275,                 1.1749,             5.4955e-05,             5.4955e-05,             5.4955e-05
                     93,                0.52613,                0.35429,                 1.0659,                0.85974,                0.78159,                 0.8714,                0.71574,                0.73795,                0.74996,                  1.156,              5.446e-05,              5.446e-05,              5.446e-05
                     94,                0.51574,                0.34443,                 1.0604,                0.85551,                0.78177,                0.86489,                0.70934,                0.74696,                0.78025,                   1.16,             5.3965e-05,             5.3965e-05,             5.3965e-05
                     95,                0.51749,                 0.3481,                 1.0543,                0.87445,                0.76977,                0.86399,                0.70826,                 0.7426,                0.78116,                 1.1551,              5.347e-05,              5.347e-05,              5.347e-05
                     96,                0.51433,                0.35122,                 1.0519,                 0.8571,                0.78939,                0.86935,                0.71107,                0.73988,                0.75263,                 1.1499,             5.2975e-05,             5.2975e-05,             5.2975e-05
                     97,                0.52252,                0.34166,                 1.0599,                0.87846,                 0.7687,                0.87283,                0.71252,                0.74963,                0.74834,                 1.1541,              5.248e-05,              5.248e-05,              5.248e-05
                     98,                0.51884,                0.34614,                 1.0665,                0.86631,                0.77588,                 0.8643,                0.70931,                0.74143,                0.77631,                 1.1605,             5.1985e-05,             5.1985e-05,             5.1985e-05
                     99,                0.51756,                0.34229,                 1.0531,                0.86979,                0.76467,                0.86202,                0.70808,                0.74202,                0.78747,                 1.1573,              5.149e-05,              5.149e-05,              5.149e-05
                    100,                0.50917,                0.35463,                 1.0598,                0.87879,                0.76211,                0.86677,                0.71284,                 0.7425,                0.77713,                 1.1499,             5.0995e-05,             5.0995e-05,             5.0995e-05
                    101,                0.52875,                0.34239,                 1.0595,                0.89362,                0.74837,                 0.8628,                0.71113,                0.74154,                0.78417,                  1.155,               5.05e-05,               5.05e-05,               5.05e-05
                    102,                0.51678,                0.34431,                 1.0653,                0.86987,                0.76908,                0.86687,                0.71323,                0.74157,                0.77622,                 1.1538,             5.0005e-05,             5.0005e-05,             5.0005e-05
                    103,                0.51898,                0.35525,                 1.0604,                0.85907,                0.78006,                0.86359,                0.70868,                0.74068,                0.78012,                 1.1552,              4.951e-05,              4.951e-05,              4.951e-05
                    104,                0.51034,                0.34353,                 1.0595,                0.87373,                0.77947,                0.86549,                0.71328,                 0.7403,                0.76417,                  1.157,             4.9015e-05,             4.9015e-05,             4.9015e-05
                    105,                0.49924,                0.33628,                 1.0498,                 0.8616,                0.77042,                0.86551,                0.71572,                0.74152,                  0.767,                 1.1557,              4.852e-05,              4.852e-05,              4.852e-05
                    106,                0.50129,                0.33302,                 1.0532,                 0.9127,                0.73794,                0.86677,                0.71427,                0.73798,                0.76072,                 1.1495,             4.8025e-05,             4.8025e-05,             4.8025e-05
                    107,                0.50451,                0.34102,                 1.0449,                0.86189,                0.78086,                0.86448,                 0.7157,                0.74165,                0.76853,                  1.155,              4.753e-05,              4.753e-05,              4.753e-05
                    108,                0.51085,                0.33216,                 1.0553,                0.86299,                 0.7799,                0.86241,                0.70957,                0.74691,                0.76481,                 1.1581,             4.7035e-05,             4.7035e-05,             4.7035e-05
