                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.25126,                0.31784,                0.20425,                0.87511,                 0.9875,                0.97986,                0.98788,                0.97442,                 0.9875,                0.97986,                 0.9888,                 0.9677,                0.16844,                0.33588,                0.16369,                 0.7519,               0.001585,               0.001585,               0.001585
                     87,                 0.2467,                0.32472,                0.20201,                0.86893,                0.98827,                0.98505,                0.98818,                0.97361,                0.98827,                0.98505,                0.98818,                0.96654,                0.16773,                 0.3446,                0.15634,                0.74836,               0.001486,               0.001486,               0.001486
                     88,                0.23452,                0.33126,                0.19071,                0.86832,                 0.9904,                0.98085,                0.98766,                0.97421,                 0.9904,                0.98085,                0.98766,                0.96582,                 0.1728,                0.35034,                0.16742,                0.75283,               0.001387,               0.001387,               0.001387
                     89,                0.24606,                0.32698,                0.19053,                0.87069,                0.98309,                0.98047,                0.98474,                0.97338,                0.98309,                0.98047,                0.98474,                0.96433,                0.16531,                0.35086,                0.16563,                0.74422,               0.001288,               0.001288,               0.001288
                     90,                 0.2403,                0.32325,                0.19401,                0.86536,                0.98155,                 0.9744,                0.98546,                0.97585,                0.98155,                 0.9744,                0.98546,                0.96427,                0.16189,                0.34167,                0.16916,                0.74375,               0.001189,               0.001189,               0.001189
                     91,                0.24143,                0.31359,                0.19034,                 0.8689,                0.97328,                0.98539,                0.98488,                 0.9723,                0.97328,                0.98539,                0.98488,                0.96569,                0.16278,                 0.3315,                0.17227,                0.74215,                0.00109,                0.00109,                0.00109
                     92,                0.23854,                0.32715,                 0.1989,                0.86065,                0.97535,                0.98681,                0.98592,                0.97331,                0.97535,                0.98681,                0.98592,                0.96578,                0.15943,                0.32878,                0.16642,                0.74209,               0.000991,               0.000991,               0.000991
                     93,                0.23881,                0.31058,                0.18662,                0.86898,                0.99191,                0.97523,                0.98747,                0.97522,                0.99191,                0.97523,                0.98747,                0.96679,                0.15923,                0.32702,                0.15511,                0.74742,               0.000892,               0.000892,               0.000892
                     94,                0.22684,                0.30912,                0.17858,                0.86605,                0.98489,                0.98672,                0.98822,                0.97765,                0.98489,                0.98672,                0.98822,                0.96787,                0.15246,                 0.3226,                0.14902,                0.73983,               0.000793,               0.000793,               0.000793
                     95,                0.23693,                0.31397,                 0.1806,                 0.8699,                0.98434,                0.98727,                0.98658,                0.97547,                0.98434,                0.98727,                0.98658,                0.96518,                0.15571,                0.32621,                0.15495,                0.74234,               0.000694,               0.000694,               0.000694
                     96,                0.24499,                0.33156,                0.18134,                0.86854,                0.98064,                0.98701,                0.98643,                0.97573,                0.98064,                0.98701,                0.98643,                0.96494,                0.15352,                0.33179,                0.15255,                0.74178,               0.000595,               0.000595,               0.000595
                     97,                0.22101,                0.29682,                0.17009,                 0.8577,                0.98379,                0.98501,                0.98685,                0.97655,                0.98379,                0.98501,                0.98685,                0.96657,                0.15004,                0.32957,                 0.1458,                 0.7419,               0.000496,               0.000496,               0.000496
                     98,                0.22187,                0.31015,                0.17442,                0.85801,                0.98448,                0.98526,                0.98709,                0.97507,                0.98448,                0.98526,                0.98709,                 0.9671,                0.15322,                0.32164,                0.14501,                0.74453,               0.000397,               0.000397,               0.000397
                     99,                0.21655,                0.29537,                0.16743,                0.85795,                0.98526,                0.98525,                0.98724,                0.97618,                0.98526,                0.98525,                0.98724,                0.96758,                0.15375,                 0.3182,                0.14041,                 0.7473,               0.000298,               0.000298,               0.000298
