                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.57102,                0.38985,                 1.0219,                0.96505,                0.96498,                0.98901,                0.88628,                0.53034,                0.29878,                0.90988,              6.931e-05,              6.931e-05,              6.931e-05
                     64,                0.57967,                 0.3768,                 1.0176,                0.96581,                0.96587,                0.98996,                0.88677,                0.52909,                0.29751,                 0.9097,             6.8815e-05,             6.8815e-05,             6.8815e-05
                     65,                0.56694,                  0.373,                  1.006,                0.96775,                0.96587,                0.98869,                0.88751,                0.52363,                0.29392,                0.90627,              6.832e-05,              6.832e-05,              6.832e-05
                     66,                0.57394,                0.36603,                 1.0217,                0.95647,                0.95915,                0.98896,                0.89019,                0.52776,                0.30046,                0.90703,             6.7825e-05,             6.7825e-05,             6.7825e-05
                     67,                0.58104,                0.37273,                 1.0283,                0.95271,                0.94458,                0.98748,                0.88717,                0.52701,                0.31915,                0.90695,              6.733e-05,              6.733e-05,              6.733e-05
                     68,                0.54796,                0.36875,                   1.01,                0.95946,                0.96945,                0.98944,                0.88873,                0.52457,                0.29041,                0.90743,             6.6835e-05,             6.6835e-05,             6.6835e-05
                     69,                0.56662,                0.37636,                 1.0197,                0.96902,                0.96211,                0.99063,                0.89126,                0.52595,                0.29397,                0.90764,              6.634e-05,              6.634e-05,              6.634e-05
                     70,                 0.5444,                 0.3579,                 1.0116,                 0.9562,                 0.9387,                0.98461,                0.88704,                0.52506,                0.31581,                0.90559,             6.5845e-05,             6.5845e-05,             6.5845e-05
                     71,                0.57679,                0.37335,                 1.0172,                 0.9577,                0.93156,                0.98707,                0.88761,                0.52285,                0.31416,                0.90369,              6.535e-05,              6.535e-05,              6.535e-05
                     72,                0.55937,                 0.3562,                 1.0135,                0.96002,                0.93131,                0.98801,                0.88984,                0.52395,                0.31239,                0.90421,             6.4855e-05,             6.4855e-05,             6.4855e-05
                     73,                0.57753,                0.35463,                 1.0144,                0.94481,                0.95426,                0.98839,                 0.8928,                0.53021,                0.29922,                0.90934,              6.436e-05,              6.436e-05,              6.436e-05
                     74,                0.58043,                0.37841,                 1.0178,                0.95993,                0.94331,                0.98845,                0.88923,                0.52525,                0.31108,                 0.9083,             6.3865e-05,             6.3865e-05,             6.3865e-05
                     75,                0.57304,                0.36966,                 1.0192,                0.96114,                0.95459,                0.98631,                0.88637,                0.52612,                0.30547,                0.90432,              6.337e-05,              6.337e-05,              6.337e-05
                     76,                 0.5423,                0.33304,                 1.0011,                0.96995,                0.94024,                0.98521,                0.88495,                0.52884,                0.32036,                0.90604,             6.2875e-05,             6.2875e-05,             6.2875e-05
                     77,                0.54439,                0.33984,                 1.0025,                0.96043,                0.93574,                0.98477,                0.88487,                  0.529,                0.31944,                0.90516,              6.238e-05,              6.238e-05,              6.238e-05
                     78,                0.55082,                0.35249,                 1.0034,                0.96287,                0.95973,                0.98936,                0.88869,                 0.5299,                0.29459,                0.90566,             6.1885e-05,             6.1885e-05,             6.1885e-05
